Anio,Mes,Distrito,Indicador,Valor
2026,1,San Luis,Poblacion_Total,54870
2026,1,San Luis,Canasta_Basica_Soles,1180.00
2026,1,San Luis,Tasa_Desempleo_Pct,5.8
2026,1,San Luis,Pobreza_Monetaria_Pct,4.2
2026,1,Miraflores,Poblacion_Total,105340
2026,1,Miraflores,Canasta_Basica_Soles,1450.00
2026,1,Miraflores,Tasa_Desempleo_Pct,3.5
2026,1,Miraflores,Pobreza_Monetaria_Pct,1.1
2026,1,San Isidro,Poblacion_Total,68100
2026,1,San Isidro,Canasta_Basica_Soles,1520.00
2026,1,San Isidro,Tasa_Desempleo_Pct,3.1
2026,1,San Isidro,Pobreza_Monetaria_Pct,0.8
2026,1,Santiago de Surco,Poblacion_Total,414200
2026,1,Santiago de Surco,Canasta_Basica_Soles,1350.00
2026,1,Santiago de Surco,Tasa_Desempleo_Pct,4.6
2026,1,Santiago de Surco,Pobreza_Monetaria_Pct,2.5
2026,1,La Molina,Poblacion_Total,208900
2026,1,La Molina,Canasta_Basica_Soles,1400.00
2026,1,La Molina,Tasa_Desempleo_Pct,4.0
2026,1,La Molina,Pobreza_Monetaria_Pct,1.9
2026,1,San Borja,Poblacion_Total,116300
2026,1,San Borja,Canasta_Basica_Soles,1390.00
2026,1,San Borja,Tasa_Desempleo_Pct,3.8
2026,1,San Borja,Pobreza_Monetaria_Pct,1.5
2026,1,San Juan de Lurigancho,Poblacion_Total,1214000
2026,1,San Juan de Lurigancho,Canasta_Basica_Soles,980.00
2026,1,San Juan de Lurigancho,Tasa_Desempleo_Pct,9.1
2026,1,San Juan de Lurigancho,Pobreza_Monetaria_Pct,21.3
2026,1,Comas,Poblacion_Total,577000
2026,1,Comas,Canasta_Basica_Soles,990.00
2026,1,Comas,Tasa_Desempleo_Pct,8.9
2026,1,Comas,Pobreza_Monetaria_Pct,19.2
2026,1,Los Olivos,Poblacion_Total,421300
2026,1,Los Olivos,Canasta_Basica_Soles,1080.00
2026,1,Los Olivos,Tasa_Desempleo_Pct,6.9
2026,1,Los Olivos,Pobreza_Monetaria_Pct,9.8
2026,1,Villa El Salvador,Poblacion_Total,497800
2026,1,Villa El Salvador,Canasta_Basica_Soles,980.00
2026,1,Villa El Salvador,Tasa_Desempleo_Pct,8.8
2026,1,Villa El Salvador,Pobreza_Monetaria_Pct,18.9
